survey_year,sample,rec_all,rec_most,rec_soon,rec_sleep,rec_driving,rec_work,rec_store,rec_small_group,rec_large_group,rec_morn,rec_aft,rec_eve,alert_und,tor_watchwarn_und,tor_map_und,tor_radar_und,svr_watchwarn_und,und_morn,und_aft,und_eve,torwarn,torwatch,warn_time,warn_time_minutes,watch_time,watch_time_hours,warn_size,watch_size,resp_prot,resp_sleep,resp_driving,resp_work,resp_store,resp_small_group,resp_large_group,resp_morn,resp_aft,resp_eve,MALE,AGE_GROUP,HISP,RACE_GROUP,CWA,TORN
NA,OS,3,3,3,1,4,4,4,2,4,1,1,4,5,1,1,1,2,1,1,4,NA,1,2,NA,4,NA,5,1,5,1,5,5,5,2,3,1,1,4,1,1,0,1,BOI,-1.1331354315412543
NA,OS,3,3,3,3,NA,4,4,4,4,2,5,2,4,2,4,2,4,3,3,3,NA,2,2,NA,1,NA,2,2,4,2,NA,4,4,4,4,4,4,4,0,1,0,1,BOI,-1.1331354315412543
NA,OS,3,4,2,2,4,4,3,3,3,2,3,3,4,3,4,4,4,3,4,4,NA,1,2,NA,2,10,2,3,3,2,3,4,3,3,3,3,4,3,1,3,0,1,BOI,-1.1331354315412543
NA,OS,1,1,1,1,3,3,3,3,3,1,4,4,4,2,3,2,3,3,3,3,2,NA,2,NA,3,NA,1,2,2,1,2,2,2,2,2,1,2,2,0,1,0,1,BOI,-1.1331354315412543
2019,WX,5,5,5,2,4,5,NA,NA,5,5,5,5,5,4,5,4,4,5,5,5,NA,1,1,30,2,6,3,3,5,4,5,5,NA,5,5,5,5,5,1,1,0,1,BOI,-1.1331354315412543
NA,OS,3,4,4,1,3,4,3,2,3,3,5,2,5,3,5,5,5,5,5,5,NA,2,2,NA,2,8,3,3,4,2,3,4,3,3,3,4,5,4,1,2,0,1,BOI,-1.1331354315412543
NA,OS,4,4,4,1,4,4,4,4,4,3,4,4,4,2,2,1,3,3,4,4,NA,1,1,45,2,12,1,1,2,1,3,4,3,4,4,3,4,4,0,1,0,1,BOI,-1.1331354315412543
NA,OS,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,4,NA,2,2,NA,2,6,3,2,4,3,3,3,3,3,3,4,3,3,1,1,0,1,BOI,-1.1331354315412543
NA,OS,4,4,2,1,4,5,3,5,2,1,5,NA,5,4,5,5,5,5,5,NA,NA,1,1,20,2,8,3,3,4,2,5,5,5,5,1,2,5,NA,1,2,0,1,BOI,-1.1331354315412543
NA,OS,3,3,3,1,2,3,3,3,4,4,4,4,5,3,2,3,3,5,5,5,2,NA,2,NA,1,NA,2,2,3,1,2,3,3,4,5,4,4,5,0,1,1,1,BOI,-1.1331354315412543
2019,WX,4,4,4,1,2,4,2,3,2,2,4,5,4,1,3,3,2,2,3,3,1,NA,2,NA,3,NA,2,3,3,1,NA,3,3,3,2,3,3,4,1,1,0,1,BOI,-1.1331354315412543
NA,OS,3,2,2,1,1,5,3,3,3,2,2,1,5,2,4,2,2,3,3,3,2,NA,2,NA,2,1,1,1,4,1,1,4,4,3,3,1,1,1,0,1,0,1,BOI,-1.1331354315412543
NA,OS,4,4,4,2,4,5,4,4,4,2,4,4,5,4,4,4,4,5,5,5,2,NA,2,NA,NA,NA,2,2,4,4,4,5,4,4,4,4,5,5,1,3,0,1,BOI,-1.1331354315412543
2019,WX,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,NA,2,NA,2,18,2,2,4,2,3,3,3,3,3,3,3,3,0,2,0,3,BOI,-1.1331354315412543
NA,OS,4,3,2,2,3,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,NA,2,2,NA,2,12,2,2,4,2,3,3,3,3,3,3,3,3,0,2,0,3,BOI,-1.1331354315412543
NA,OS,4,3,3,4,4,3,4,3,3,3,3,3,4,3,2,3,3,3,4,3,2,NA,1,15,1,NA,1,1,4,3,3,3,4,4,4,3,3,4,0,1,0,3,BOI,-1.1331354315412543
NA,OS,3,3,3,2,4,4,4,4,4,3,5,5,5,1,4,2,4,4,5,5,NA,1,1,15,2,5,2,3,3,2,4,4,4,4,4,4,5,5,0,1,0,1,BOI,-1.1331354315412543
NA,OS,3,3,3,2,3,4,3,4,4,3,3,4,4,2,4,2,1,3,3,4,2,NA,1,25,2,2,2,2,3,3,2,3,2,3,3,3,3,4,0,1,0,1,BOI,-1.1331354315412543
NA,OS,2,2,2,1,2,3,2,2,2,1,3,3,4,1,4,2,1,2,3,3,NA,1,2,NA,2,6,2,2,3,2,3,3,3,3,3,2,3,3,0,1,0,1,BOI,-1.1331354315412543
2017,WX,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,3,NA,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,1,BOI,-1.1331354315412543
NA,OS,3,3,3,4,3,4,3,4,3,3,3,4,4,2,3,3,3,3,3,3,NA,3,1,60,2,24,1,2,3,2,3,3,2,3,3,3,3,3,1,3,0,1,BOI,-1.1331354315412543
NA,OS,3,3,3,3,3,3,3,3,3,2,3,3,4,1,2,2,2,3,3,3,2,NA,1,15,2,10,1,1,4,3,3,3,3,3,3,3,NA,3,1,2,0,1,BOI,-1.1331354315412543
NA,OS,3,1,3,3,3,3,3,3,3,4,4,4,3,3,2,1,3,4,4,4,2,NA,1,60,1,NA,2,2,4,3,3,3,4,4,4,3,4,4,1,3,0,1,BOI,-1.1331354315412543
2018,WX,4,3,3,2,3,4,4,4,4,1,4,2,2,1,2,1,2,3,4,3,NA,3,1,30,2,8,2,2,3,3,3,3,3,3,3,3,3,3,0,3,0,1,BOI,-1.1331354315412543
2019,WX,1,1,1,3,4,4,4,4,3,3,3,3,5,4,3,3,3,3,3,3,2,NA,2,NA,2,12,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,1,BOI,-1.1331354315412543
2019,WX,2,4,2,2,3,3,3,3,3,1,5,5,4,4,4,2,3,1,5,5,NA,1,1,20,2,3,2,2,5,2,5,NA,5,5,5,1,5,5,1,3,0,1,BOU,2.0019168761227086
NA,OS,4,4,4,3,5,5,5,5,5,5,5,5,5,2,3,2,2,4,4,4,NA,1,2,NA,2,6,1,1,4,3,5,4,5,4,NA,4,4,4,0,1,1,1,BOU,2.0019168761227086
2017,WX,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,1,15,2,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,BOU,2.0019168761227086
2019,WX,3,4,3,2,3,3,2,2,3,2,3,NA,4,3,4,3,3,3,4,NA,1,NA,1,30,2,6,1,2,2,2,3,3,3,3,3,2,3,3,1,2,0,1,BOU,2.0019168761227086
2019,WX,3,4,3,1,2,2,2,2,3,1,3,2,4,3,4,4,4,4,4,4,2,NA,1,60,1,NA,2,2,3,3,3,3,3,3,3,4,4,4,1,3,0,1,BOU,2.0019168761227086
2017,WX,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,45,2,6,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,BOU,2.0019168761227086
NA,OS,3,3,3,1,3,5,3,1,1,4,4,2,2,2,3,2,3,NA,4,2,NA,2,2,NA,2,12,2,2,4,NA,2,2,3,5,2,3,3,1,1,2,0,2,BOU,2.0019168761227086
2018,WX,4,4,4,2,3,3,2,3,3,2,4,3,5,4,3,3,3,3,4,3,NA,1,2,NA,2,2,3,3,4,3,3,3,3,3,3,5,5,2,0,2,1,1,BOU,2.0019168761227086
2018,WX,3,3,2,1,1,2,3,3,3,2,3,3,4,2,2,2,3,2,3,3,2,NA,2,NA,3,NA,1,3,3,1,4,3,4,3,3,3,3,3,0,1,0,1,BOU,2.0019168761227086
2017,WX,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,2,5,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,1,BOU,2.0019168761227086
2018,WX,4,4,4,2,3,3,2,3,4,3,4,4,4,2,3,3,2,4,4,4,NA,2,1,45,1,NA,2,2,3,2,3,3,3,3,4,3,3,3,0,2,0,1,BOU,2.0019168761227086
2017,WX,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,30,2,3,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,BOU,2.0019168761227086
2019,WX,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,NA,3,NA,2,5,2,2,3,3,3,3,3,3,3,3,3,3,1,1,0,1,BOU,2.0019168761227086
2018,WX,2,4,4,2,3,3,3,4,4,2,4,4,5,4,5,4,3,3,5,4,NA,1,1,30,2,5,3,3,4,2,3,5,2,4,4,3,4,4,1,3,0,1,BOU,2.0019168761227086
2019,WX,4,4,4,2,2,5,4,NA,3,4,4,5,4,2,2,1,2,3,3,4,2,NA,1,60,2,24,1,1,NA,2,2,5,5,5,5,3,4,4,0,2,0,2,BOU,2.0019168761227086
2018,WX,3,4,3,1,1,5,1,2,3,2,3,2,2,3,2,1,2,3,NA,3,NA,2,2,NA,1,NA,1,1,2,2,2,5,4,4,4,2,3,3,0,3,0,2,BOU,2.0019168761227086
2019,WX,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,NA,1,30,2,12,1,1,3,3,3,3,3,3,3,3,3,3,1,3,0,1,BOU,2.0019168761227086
2017,WX,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,1,30,1,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,3,BOU,2.0019168761227086
NA,OS,3,4,3,1,1,4,2,3,4,3,4,3,4,3,2,3,4,4,2,3,NA,NA,2,NA,2,5,1,1,4,2,2,4,1,3,4,4,3,5,1,1,0,2,BOU,2.0019168761227086
NA,OS,4,5,4,2,1,3,2,4,5,4,4,5,4,4,4,3,4,5,5,4,NA,1,1,35,1,NA,1,2,4,5,4,4,4,5,5,4,4,5,1,1,1,1,BOU,2.0019168761227086
2018,WX,3,4,3,2,2,2,2,3,2,3,4,3,4,3,3,2,3,4,4,3,NA,1,1,30,2,2,3,3,3,2,3,3,2,3,2,3,3,3,1,2,0,1,BOU,2.0019168761227086
2017,WX,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,3,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,BOU,2.0019168761227086
2017,WX,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,10,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,BOU,2.0019168761227086
2018,WX,4,3,3,1,1,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,NA,1,1,60,1,NA,3,1,3,2,3,4,4,4,4,3,3,3,0,3,0,1,BOU,2.0019168761227086
NA,OS,4,4,3,2,2,3,3,4,4,4,4,2,4,4,5,5,4,4,4,3,NA,2,2,NA,1,NA,2,2,4,4,2,4,4,4,4,4,4,3,0,1,1,1,BOU,2.0019168761227086
NA,OS,4,5,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,2,NA,1,20,2,2,3,4,5,4,5,5,5,5,5,5,5,5,1,3,0,1,BOU,2.0019168761227086
2018,WX,5,5,5,3,4,5,3,5,3,4,5,5,5,4,3,3,4,4,5,5,2,NA,2,NA,2,10,1,1,4,3,3,5,3,4,3,4,5,5,1,2,0,1,BOU,2.0019168761227086
2019,WX,3,4,4,3,2,3,2,4,4,4,4,4,4,3,5,4,3,4,4,4,NA,1,1,15,2,12,2,3,4,4,2,4,3,3,3,3,3,3,1,2,0,1,BOU,2.0019168761227086
2017,WX,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,12,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,BOU,2.0019168761227086
2018,WX,4,4,5,2,3,4,5,5,4,4,4,2,4,4,3,4,4,4,5,3,2,NA,2,NA,1,NA,2,3,4,2,3,4,4,5,5,5,5,3,1,2,0,1,BOU,2.0019168761227086
NA,OS,2,3,2,2,2,3,2,3,3,2,2,2,4,2,3,2,2,2,2,2,NA,1,2,NA,2,3,1,2,2,2,2,3,2,3,3,2,2,2,0,2,0,3,BOU,2.0019168761227086
NA,OS,1,3,2,1,2,3,2,2,2,2,3,3,4,3,4,4,3,2,3,3,2,NA,1,30,2,12,3,3,3,2,2,3,3,2,2,2,3,3,1,3,0,1,BOU,2.0019168761227086
NA,OS,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,5,5,5,NA,1,2,NA,4,NA,1,1,4,2,5,5,5,5,5,5,5,5,0,1,0,1,BOU,2.0019168761227086
2019,WX,3,3,3,1,3,3,3,3,3,2,4,4,4,2,2,2,2,3,3,3,NA,1,3,NA,4,NA,2,3,3,1,3,3,3,3,3,2,2,2,0,1,0,1,BOU,2.0019168761227086
NA,OS,1,3,2,2,4,3,2,3,3,3,3,3,5,3,4,1,3,3,3,3,1,NA,1,15,1,NA,2,2,4,2,NA,3,2,4,4,3,3,3,0,1,1,1,BOU,2.0019168761227086
2018,WX,4,4,4,3,4,4,3,4,4,1,4,4,5,4,4,3,3,1,4,4,NA,1,2,NA,2,1,1,3,2,2,2,2,2,2,2,1,1,1,1,3,1,1,BOU,2.0019168761227086
NA,OS,4,3,3,4,3,4,3,4,4,5,4,4,4,2,4,4,3,4,4,4,NA,1,2,NA,2,24,1,1,4,4,3,4,4,3,3,3,4,4,1,3,0,1,BOU,2.0019168761227086
2019,WX,3,3,3,2,2,2,2,3,3,2,2,1,4,2,3,3,3,3,3,3,NA,1,1,60,2,3,3,3,3,2,2,2,2,2,2,3,3,3,1,2,0,1,BOU,2.0019168761227086
NA,OS,2,4,3,2,3,3,3,3,4,2,3,2,3,2,3,3,2,3,3,3,1,NA,2,NA,2,7,2,2,2,3,3,2,2,2,3,3,2,2,1,3,0,1,BOU,2.0019168761227086
NA,OS,3,4,3,2,3,3,3,2,2,3,3,3,4,2,2,2,3,3,3,3,NA,1,1,40,2,5,2,2,3,2,4,3,3,3,3,3,3,3,1,2,0,1,BOU,2.0019168761227086
NA,OS,5,5,5,2,3,5,3,4,4,2,5,5,5,3,4,4,4,4,5,5,NA,1,1,25,2,3,2,3,2,1,2,4,2,3,3,1,3,3,0,1,0,1,BOU,2.0019168761227086
2017,WX,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,1,30,1,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,BOU,2.0019168761227086
NA,OS,5,5,5,3,3,5,5,5,4,4,5,5,5,4,5,4,5,5,5,5,NA,1,1,20,2,6,2,3,3,3,4,4,5,4,4,3,5,5,1,2,0,1,BOU,2.0019168761227086
2017,WX,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,1,45,1,NA,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,1,BOU,2.0019168761227086
2019,WX,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,4,3,3,3,3,NA,1,10,4,NA,4,3,3,3,3,3,3,3,3,3,3,3,0,1,1,3,BOU,2.0019168761227086
2018,WX,2,2,3,2,1,3,3,3,3,2,4,4,3,1,1,1,1,2,4,4,NA,2,1,58,1,NA,2,3,4,2,1,4,3,3,NA,2,4,4,0,1,0,1,BOU,2.0019168761227086
2018,WX,3,4,3,2,2,4,2,2,3,2,4,5,5,4,5,4,4,3,4,5,NA,1,2,NA,1,NA,2,1,3,3,2,4,2,3,3,3,4,4,1,2,0,1,BOU,2.0019168761227086
2017,WX,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0,2,24,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,BOU,2.0019168761227086
NA,OS,4,NA,4,2,2,3,1,3,3,4,4,2,5,4,4,2,3,5,4,4,2,NA,1,0,2,10,2,3,2,2,2,4,2,3,3,3,3,3,1,2,0,1,BOU,2.0019168761227086
2017,WX,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,20,2,6,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,BOU,2.0019168761227086
2018,WX,3,4,4,1,2,3,3,4,4,1,4,4,5,3,5,5,4,5,5,5,NA,1,1,30,1,NA,2,2,4,2,3,4,4,4,4,3,4,5,0,2,0,1,BOU,2.0019168761227086
2018,WX,3,NA,4,3,2,5,4,3,NA,5,5,5,5,4,4,4,5,5,5,5,NA,1,1,10,2,2,3,3,4,3,5,4,1,4,2,4,5,5,1,2,1,1,BOU,2.0019168761227086
2019,WX,4,4,4,2,3,3,3,3,3,3,4,2,4,4,4,4,4,3,4,2,NA,1,1,7,2,4,3,3,3,2,3,NA,3,NA,3,3,4,2,1,2,0,1,BOU,2.0019168761227086
2019,WX,3,4,3,2,3,3,2,3,3,3,3,3,4,2,5,4,4,3,3,3,NA,2,2,NA,2,1,2,2,2,1,2,3,2,2,2,3,3,3,0,1,0,1,BOU,2.0019168761227086
2018,WX,3,4,3,4,3,3,1,3,3,4,4,4,4,2,2,3,3,4,4,4,NA,1,1,45,1,NA,1,2,3,4,4,4,4,4,4,4,4,4,0,3,0,1,BOU,2.0019168761227086
2018,WX,4,2,4,1,5,5,5,5,5,4,4,2,5,4,4,4,5,4,4,4,NA,2,2,NA,1,NA,1,1,3,2,5,5,5,4,4,3,4,2,0,2,1,1,BOU,2.0019168761227086
2019,WX,4,4,4,4,3,3,3,3,3,NA,3,4,4,2,3,3,3,3,3,4,2,NA,1,30,1,NA,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,1,BOU,2.0019168761227086
2019,WX,3,4,3,3,4,4,3,3,3,3,3,3,4,3,2,2,3,3,3,3,NA,1,1,60,2,12,2,2,1,2,2,3,2,3,3,3,3,3,0,2,0,1,BOU,2.0019168761227086
NA,OS,4,4,3,1,3,5,2,3,3,1,5,3,3,1,4,4,4,3,3,3,1,NA,1,35,2,1,3,3,3,3,2,3,3,3,3,2,3,4,0,1,0,1,BOU,2.0019168761227086
2019,WX,2,4,3,2,3,4,3,4,5,3,3,3,3,3,4,4,3,2,3,2,NA,1,2,NA,3,NA,3,3,3,2,4,2,3,2,3,4,4,3,0,1,0,1,BOU,2.0019168761227086
2019,WX,2,4,4,2,3,5,3,3,4,2,5,4,5,4,4,4,4,4,5,5,NA,1,1,5,2,8,1,2,3,1,5,5,4,3,4,4,4,4,0,2,0,1,BOU,2.0019168761227086
NA,OS,3,4,3,1,3,3,2,2,2,1,4,2,4,2,4,4,1,2,3,3,NA,1,1,5,2,2,3,4,4,4,4,3,3,4,4,4,4,4,0,3,1,3,BOU,2.0019168761227086
NA,OS,3,3,3,4,2,4,4,4,4,3,3,3,2,1,1,1,1,3,3,3,NA,1,1,3,2,2,1,2,3,2,1,2,2,2,2,3,3,3,0,2,0,2,BOU,2.0019168761227086
2018,WX,5,4,3,5,2,4,2,3,2,3,3,4,4,3,3,3,3,3,3,3,1,NA,2,NA,2,2,2,2,4,NA,NA,NA,NA,NA,NA,3,3,3,1,2,0,1,BOU,2.0019168761227086
2018,WX,5,4,5,4,5,5,4,4,3,4,5,4,4,3,3,3,4,5,5,4,NA,1,1,30,1,NA,3,2,4,5,5,5,5,5,5,5,4,4,0,3,1,1,BOU,2.0019168761227086
2019,WX,3,3,3,1,5,3,4,4,5,1,3,2,3,1,4,3,2,2,2,1,2,NA,2,NA,2,12,3,3,2,1,2,5,4,4,4,1,1,1,0,1,0,1,BOU,2.0019168761227086
NA,OS,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,NA,1,20,2,3,2,3,4,3,3,3,3,3,3,3,3,3,1,2,0,1,BOU,2.0019168761227086
2018,WX,2,4,4,1,2,5,4,2,2,1,4,3,4,3,3,3,3,2,3,2,NA,1,1,68,2,2,1,1,4,1,2,4,4,4,3,2,4,3,1,2,0,1,BOU,2.0019168761227086
NA,OS,3,3,3,2,4,4,3,4,3,3,3,3,4,3,4,4,4,3,3,3,2,NA,1,60,2,12,3,2,2,3,NA,3,3,3,3,3,3,3,1,3,0,1,BOU,2.0019168761227086
2019,WX,4,4,4,1,1,3,2,3,3,3,3,3,4,3,3,3,3,4,3,3,2,NA,1,59,1,NA,2,2,4,1,2,2,2,2,3,4,4,4,1,3,0,1,BOU,2.0019168761227086
NA,OS,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,NA,2,2,NA,1,NA,3,2,3,3,3,3,3,3,3,3,3,3,1,3,0,1,BOU,2.0019168761227086
2018,WX,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,2,NA,2,NA,2,3,3,3,5,5,5,5,5,5,5,5,5,5,1,2,0,2,BOU,2.0019168761227086
NA,OS,2,4,3,2,3,3,3,3,3,1,3,4,4,3,3,2,2,NA,3,4,2,NA,2,NA,4,NA,2,2,2,2,3,3,3,3,3,1,3,4,0,2,1,1,BOU,2.0019168761227086
2018,WX,4,4,4,3,4,4,4,4,4,5,5,5,2,2,2,3,2,4,4,4,NA,1,1,30,2,2,1,2,4,4,4,4,4,4,4,4,4,4,0,1,0,1,BOU,2.0019168761227086
NA,OS,2,4,3,NA,NA,NA,NA,NA,NA,2,4,3,4,3,4,3,3,3,4,4,NA,1,1,10,2,10,3,3,4,4,3,4,3,4,3,3,NA,3,1,3,0,1,BOU,2.0019168761227086
2019,WX,2,3,3,2,3,3,3,3,3,3,3,3,5,4,4,4,4,3,3,3,1,NA,2,NA,2,5,3,2,2,4,4,4,4,4,4,3,3,3,0,2,0,1,BOU,2.0019168761227086
NA,OS,3,4,3,NA,2,3,3,2,2,2,3,3,4,2,2,2,3,2,3,3,2,NA,2,NA,2,6,2,2,2,1,2,2,3,2,1,2,3,2,1,3,0,1,BOU,2.0019168761227086
NA,OS,4,4,4,4,3,NA,3,4,4,4,4,4,4,2,3,3,2,3,3,3,NA,1,1,30,1,NA,1,1,4,4,3,4,3,3,3,3,3,4,1,2,1,1,BOU,2.0019168761227086
NA,OS,3,3,4,2,3,4,4,3,3,4,4,3,4,2,3,3,2,4,4,4,NA,1,2,NA,2,3,2,2,4,2,3,5,3,5,5,4,4,4,0,2,0,2,BOU,2.0019168761227086
2017,WX,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,6,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,1,BOU,2.0019168761227086
2017,WX,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,1,15,2,6,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,BOU,2.0019168761227086
2017,WX,6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,BOU,2.0019168761227086
NA,OS,3,3,3,1,4,2,3,3,4,2,2,2,4,1,2,1,2,2,2,2,NA,1,2,NA,2,5,1,1,2,1,3,2,NA,3,3,2,2,2,1,1,1,1,BOU,2.0019168761227086
2018,WX,4,3,5,NA,NA,4,3,4,3,2,4,2,4,2,3,3,2,3,4,3,NA,1,1,20,2,3,3,3,4,2,3,4,2,3,3,3,4,2,0,3,0,1,BOU,2.0019168761227086
NA,OS,3,4,3,2,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,NA,2,1,30,2,4,3,3,5,4,5,5,5,5,5,5,5,5,1,3,0,1,BOU,2.0019168761227086
NA,OS,4,4,4,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,NA,1,1,45,2,1,2,2,5,2,3,3,NA,3,3,4,4,4,0,3,0,1,BOU,2.0019168761227086
NA,OS,4,4,4,1,5,4,4,4,5,1,5,5,4,2,4,3,2,4,4,4,1,NA,2,NA,1,NA,2,1,3,1,5,5,4,4,3,2,4,2,0,1,0,1,BOU,2.0019168761227086
NA,OS,2,2,3,2,2,3,3,4,4,1,2,1,3,2,3,3,2,2,3,2,2,NA,1,10,1,NA,2,2,4,1,1,3,3,2,2,2,3,2,1,3,0,1,BOU,2.0019168761227086
NA,OS,3,4,3,2,3,4,3,3,3,3,4,4,4,2,4,4,2,4,4,4,2,NA,1,60,2,8,1,1,4,3,3,3,3,3,3,4,4,4,1,2,1,1,BOU,2.0019168761227086
2018,WX,1,1,1,2,4,5,4,4,3,3,3,2,3,2,5,4,2,5,5,5,2,NA,2,NA,3,NA,2,1,1,2,4,4,4,4,4,5,5,3,1,1,0,1,BOU,2.0019168761227086
NA,OS,4,5,4,1,5,2,2,3,3,5,5,3,4,3,4,5,4,4,4,4,NA,1,1,30,2,1,2,2,3,4,3,4,3,4,4,4,4,NA,1,3,0,1,BOU,2.0019168761227086
2018,WX,3,4,4,2,4,3,3,4,4,4,4,2,5,4,4,4,4,4,4,4,2,NA,1,30,2,10,3,3,4,2,3,4,4,4,4,4,4,3,1,1,0,1,BOU,2.0019168761227086
2019,WX,4,3,3,2,2,3,2,NA,3,2,4,2,4,2,3,3,2,2,4,2,2,NA,1,30,2,12,3,3,3,2,2,3,2,3,3,2,3,2,1,3,0,1,BOU,2.0019168761227086
2018,WX,4,3,4,2,4,3,3,4,3,3,3,2,5,4,4,4,4,4,4,4,2,NA,1,60,2,4,2,2,3,2,3,4,3,3,3,3,4,2,1,3,0,1,BOU,2.0019168761227086
2019,WX,4,1,5,4,5,4,5,4,4,4,4,4,4,1,2,3,1,4,4,3,NA,1,2,NA,1,NA,1,4,3,5,5,4,4,4,3,4,3,3,1,1,1,3,BOU,2.0019168761227086
2018,WX,3,3,2,1,2,3,2,2,2,2,3,3,5,4,5,5,4,4,4,4,NA,1,1,15,2,2,2,2,3,2,3,4,3,3,3,3,4,3,0,2,1,1,BOU,2.0019168761227086
2018,WX,4,4,4,2,2,3,3,3,3,3,2,4,4,2,3,3,3,4,2,5,NA,1,2,NA,2,1,2,2,2,2,3,3,3,3,3,2,2,3,0,1,0,1,BOU,2.0019168761227086
NA,OS,4,2,3,2,5,3,3,4,2,3,3,2,4,2,3,3,2,4,3,3,NA,2,2,NA,1,NA,2,2,2,2,2,3,3,3,3,2,3,2,0,1,0,1,BOU,2.0019168761227086
NA,OS,4,2,4,1,1,1,3,2,5,3,3,3,5,3,4,2,5,4,4,4,NA,1,2,NA,2,4,1,1,5,1,4,2,2,3,2,3,4,5,1,1,0,3,BOU,2.0019168761227086
NA,OS,1,3,2,1,2,2,2,2,3,1,2,3,5,4,5,4,4,3,3,4,NA,1,1,30,2,2,2,3,2,1,3,3,3,3,3,3,3,3,1,3,0,1,BOU,2.0019168761227086
2019,WX,5,4,4,4,4,5,4,4,4,5,5,5,5,5,5,4,5,5,5,5,NA,1,1,13,2,6,3,3,5,4,5,4,4,4,4,5,5,5,1,2,0,1,BOU,2.0019168761227086
