long_torhit_time,long_torhit_resp,long_torhit_nothing,long_torhit_monitor,long_torhit_prepare,long_torhit_shelter,long_torhit_nonshelter,long_torhit_conshelter,long_torhit_leave,long_torhit_leave_shelter,long_torhit_leave_avoid,long_torhit_not_sure,long_torhit_other
4,go to the basement,,,,,1,,,,,,
8,Secure windows and shutter doors! Prepare to move to safe location in house,,,1,,,,,,,,
4,,,,,,,,,,,,1
8,Wait and see,,1,,,,,,,,,
4,"seek shelter, secure large objects that could be missles",,,1,1,,,,,,,
8,plan a shelter to be at,,,1,,,,,,,,
4,drive away,,,,,,,1,,,,
4,Gather my personal belongings in a bookbag and go!,,,1,,,,1,,,,
8,Monitor the situation from home. Cancel my tee time.,,1,1,,,,,,,,
8,no clue,,,,,,,,,,1,
4,stay alert and monitor activity ,,1,,,,,,,,,
4,find shelter and take food,,,1,1,,,,,,,
8,leave,,,,,,,1,,,,
4,take shelter in my home,,,,1,,,,,,,
8,leave the area,,,,,,,1,,,,
4,wait and listen to the weather,,1,,,,,,,,,
4,Drive away from the area,,,,,,,1,,,,
8,,,,,,,,,,,,1
8,continue activities,1,,,,,,,,,,
8,take shelter,,,,1,,,,,,,
4,lock down loose items get portable lighting or flash lights ready,,,1,,,,,,,,
4,take shelter,,,,1,,,,,,,
8,seek shelter,,,,1,,,,,,,
8,gather my necessary items and pets and family and head inland to a friends house with a storage area underground,,,1,,1,,,,,,
8,Get out of county.,,,,,,,,,1,,
8,Go to the nearest emergency shelter,,,,,,,,1,,,
4,continue to do what i am doing and wait and see it if hits my area,,1,,,,,,,,,
8,secure personal articles and shelter,,,1,1,,,,,,,
4,"asame thing, take cov er",,,,1,,,,,,,
4,seek shelter at a more safe secure place,,,,,,,,1,,,
4,keep track of developments,,1,,,,,,,,,
8,"plan with family members what to do, listen to the news and act as recommended",,1,1,,,,,,,,
8,monitor the situation then seek the nearest shelter,,1,,1,,,,,,,
4,protect myself,,,,1,,,,,,,
8,monitor the storm until it was closer,,1,,,,,,,,,
8,Go to a shelter outside my house,,,,,,,,1,,,
8,"Tomorrow is Sunday, so our actions would be the same.",1,,,,,,,,,,
4,take cover,,,,1,,,,,,,
4,fun for cover,,,,1,,,,,,,
4,Monitor the situation.,,1,,,,,,,,,
8,Keep a watch untill it is closer and then move to my small bathroom.,,1,,1,,,,,,,
4,keep and eye on the situation but be prepared to leave,,1,1,,,,,,,,
8,go to a safe building,,,,,,,,1,,,
8,stay in,,,,1,,,,,,,
8,Monitor the situation,,1,,,,,,,,,
8,seek shelter,,,,1,,,,,,,
4,go to shulters,,,,,,,,1,,,
8,"I would prepare the basement to be more comfortable for when we need to go down there. I would also bring down water and snacks for the kids, and then when it was time I would bring them down and my phone so we could monitor the weather.",,1,1,1,,,,,,,
8,"keep the TV glued to the weather and monitor by what they say. I don't live in an area prone to actually touchdowns maybe Ft Hood or along I-35 into Austin,TX",,1,,,,,,,,,
8,Take precautions as instructed,,,1,,,,,,,,
4,Get my family & seek shelter.,,,1,1,,,,,,,
8,Probably stay at a hotel instead of home,,,,,,,,1,,,
4,the same as the previous question,,,,,1,,,,,,
8,protect some items to try to save them. then created a safe area,,,1,1,,,,,,,
4,"Go to the store, call my family and take shelter",,,1,1,,,,,,,
8,good,,,,,,,,,,,1
8,seek shelter and wait it out.,,,,1,,,,,,,
8,monitor,,1,,,,,,,,,
4,find shelter,,,,1,,,,,,,
8,Research my shelter options and implement.,,,1,1,,,,,,,
4,Stay indoors,,,,1,,,,,,,
8,I would not do anything,1,,,,,,,,,,
4,"Leave my home and get to location of storm shelter, would monitor weather from there.",,1,,,,,,1,,,
8,keep checking updates,,1,,,,,,,,,
8,seek shelter,,,1,,,,,,,,
4,seek cover,,,1,,,,,,,,
4,Keep watching weather forecasts,,1,,,,,,,,,
8,go to the fruit cellar,,,,,1,,,,,,
4, Leave the area.,,,,,,,,,1,,
4,take protection,,,1,,,,,,,,
8,Watch the news,,1,,,,,,,,,
4,Watch the weather.,,1,,,,,,,,,
8,I would wait it out because the tornado could not even hit,1,,,,,,,,,,
4,take cover,,,,1,,,,,,,
4,"shoot, get out of town go to familys house elsewhwerre",,,,,,,,,1,,
4,Seek shelter,,,,1,,,,,,,
8,"Remain alert, watch the skies",,1,,,,,,,,,
4,monitor the situation,,1,,,,,,,,,
4,monitore the sirtuayion,,1,,,,,,,,,
8,not sure,,,,,,,,,,1,
8,go to a shelter that is made for tornado protection,,,,,,,,1,,,
4,watch very closely,,1,,,,,,,,,
8,I will follow the storm and make plans according.,,1,1,,,,,,,,
4,Will prepare to evacuate to a shelter building.,,,1,,,,,,,,
8,Move to an interior bathroom,,,,,1,,,,,,
4,go to work and take shelter there,,,,,,,,1,,,
8,keep move to a safer location,,,,,,,1,,,,
4,monitor the weather,,1,,,,,,,,,
8,stay aware ,,1,,,,,,,,,
4,"prepare a bag with medications, keys,  radio and cell. set pillows and mattress in bathroom",,,1,,,,,,,,
8,nothing,1,,,,,,,,,,
8,Eight hours is not realistic. I would do nothing except monitor the weather.,,1,,,,,,,,,
4,monitor the situation,,1,,,,,,,,,
4,check the television and/or internet,,1,,,,,,,,,
4,I am not sure because we do not have tornadoes in california,,,,,,,,,,1,
4,,,,,,,,,,,,1
8,prepare my apartment shutter all windows and have candles and a flashlight on hand.,,,1,,,,,,,,
4,drive as far as posible,,,,,,,,,1,,
4,leave,,,,,,,1,,,,
8,contact family and leave the location,,,1,,,,1,,,,
8,"I would monitor the weather report and see what it says, and take action if necessary , and would try not to go out in the meantime unless it is necessary.",,1,,,,,,,,,
4,"move to safe area, buy groceries and water",,,1,,,,,,,,
4,same,,,,,1,,,,,,
4,keep on watching the situation till the time of real tornado comes near,,1,,,,,,,,,
4,"stay at work, notify my employer and probably advise that we run a ""drill "" with the students as it gets closer to the time of incident",,,1,1,,,,,,,
8,make the package,,,,,,,,,,,1
4,go,,,,,,,1,,,,
8,salir corriendo a refugiarme,,,,1,,,,,,,
8,MONITOR WEATHER REPORTS,,1,,,,,,,,,
8,,,,,,,,,,,,1
8,seek shelter in my basement,,,,,1,,,,,,
4,"I would check on family, pack food and water and go to a protected area.",,,1,,,,,1,,,
8,take family to parents' home and shelter in root cellar.,,,,,,,,1,,,
8,Make sure that food and water are available in my basement,,,1,,,,,,,,
4,Monitor the radar and take shelter when the tornado is imminent ,,1,,,,,,,,,
4,Get the flashlights/candles ready/make sure of ice/containers are ready/all electrics are charged/possible go to store for extra supplies,,,1,,,,,,,,
8,go in the basement for shelter,,,,,1,,,,,,
8,secure the family and get to most inner part of the house,,,1,,1,,,,,,
8,be in a safe place at that time,,,,,,,1,,,,
4,"close windows, make some calls",,,1,,,,,,,,
4,take shelter and supply as possible,,,1,1,,,,,,,
8,I would tell them it's time to go ya'll.,,,,,,,1,,,,
8,take action,,,1,,,,,,,,
8,it is good and nice,,,,,,,,,,,1
4,wait until last to find shelter,,,,1,,,,,,,
8,"Gather emergency stuff for us, go to work 1/2 day and then gather my family and go to safer place",,,1,,,,1,,,,
4,,,,,,,,,,,,1
8,"get to middle of house away from windows, if there's no place better I can stay",,,,,1,,,,,,
4,find a shelter,,,1,,,,,,,,
4,Monitor the situation closely,,1,,,,,,,,,
8,"All the same as listed below, but look at my options of maybe getting to a shelter, because I am not confident in my safety staying in my apartment ! ",,,1,,,,,,,,
8,probably pack my important documents and take my family out of state or just take shelter,,,1,,,,,,1,,
4,wait an hour and check conditions,,1,,,,,,,,,
4,Watch from exterior of residence near a place of shelter,,1,,,,,,,,,
8,will be a special place to protect my family,,,,1,,,,,,,
4,Plan out the day while monitoring the area,,1,1,,,,,,,,
4,cry find shelter,,,,1,,,,,,,
4,get my fur kids and me to a safe place ,,,,,,,,1,,,
4,Go to my basement with supplies.,,,1,,1,,,,,,
4,nmbnmb,,,,,,,,,,,1
8,go to a big shopping mall,,,,,,,,1,,,
4,tried to be ready for tornado.,,,1,,,,,,,,
8,Monitor the situation via television.,,1,,,,,,,,,
4,get to the nearest safe location near me,,,,,,,,1,,,
8,TAKE EXTREME PRECAUTION,,,1,,,,,,,,
4,drive away,,,,,,,1,,,,
8,save my family ,,,1,,,,,,,,
4,go to safest part of building,,,,,1,,,,,,
8,seek shelter,,,,1,,,,,,,
4,"I would stay in the house, prepare to take shelter",,,1,,,,,,,,
4,get to a shelter,,,,,,,,1,,,
8,Keep monitoring and still go to work.,,1,,,,,,,,,
4,Go to a shelter,,,,,,,,1,,,
4,find the safest building to take cover in,,,1,,,,,,,,
8,check for the saafest place to be,,,1,,,,,,,,
8,"I would remain at home, and check that my first aid kit is complete.",,,1,,,,,,,,
8,wait and monitor the weather,,1,,,,,,,,,
4,Mae sure my area is prepared for me to take to safety,,,1,,,,,,,,
4,move,,,,,,,1,,,,
8,get out of the area,,,,,,,,,1,,
8,I guess I would research the safest place for me to be and go to that area.,,,1,,,,,,,,
8,good,,,,,,,,,,,1
4,I would try to get to the safest place possible.,,,,,,,,1,,,
8,Keep monitoring the tornado.,,1,,,,,,,,,
4,go to my basement,,,,,1,,,,,,
4,be ready to get to safe location with time to insure safety.,,,1,,,,,,,,
8,na,,,,,,,,,,,1
4,,,,,,,,,,,,1
8,,,,,,,,,,,,1
4,"Prepare the house with flash lights, candles and water.  Move to the safest part of the house.",,,1,,1,,,,,,
4,"Remove ""go kit""  pre-identified indispensable items (info backed up computer detachable drive) Cash and go to designated shelter",,,1,,,,,1,,,
8,i would make a survival back to last me for 5 days and wait it out.,,,1,,,,,,,,
4,Get in a safe area of my home.,,,,,1,,,,,,
8,Figure out where to go and find others so I am not alone,,,1,,,,,,,,
4,I would continue my activities but prepare to take cover.,,,1,,,,,,,,
8,Get out of the town,,,,,,,,,1,,
8,Drive away from th area,,,,,,,,,1,,
4,Go to a safe area,,,,,,,,1,,,
4,get home to safety,,,,,,,,1,,,
8,go to a location that is protective,,,,,,,,1,,,
8,I would go to the assigned safe center near me ,,,,,,,,1,,,
4,I would go to. secluded area and listen to the weather reports ,,1,,,,,1,,,,
8,Investigate what I should do and follow the recommendation.,,,1,,,,,,,,
8,not sure,,,,,,,,,,1,
4,notify people I know and find shelter,,,1,,,,,,,,
8,monitor the weather and development of the tornado,,1,,,,,,,,,
8,"Prepare my bug out bag, keep my eye on the weather, move to the downstairs when weather looks bad",,1,1,,1,,,,,,
8,continue to monitor,,1,,,,,,,,,
8,get to a public shelter,,,,,,,,1,,,
4,I would make a plan to go to a more secure location. I would gather our things and get there as soon as possible. ,,,1,,,,,1,,,
4,go to a safe place,,,,,,,,1,,,
4,"Stay home, have candles ready and cell phone charged.",,,1,1,,,,,,,
8,prepare to go to shelter an hour before.,,,1,,,,,,,,
4,drive away as far as possible and look for a safe place to stay,,,,,,,,,1,,
8,I would contact my family and warn them. Make a plan to get to a safe shelter and then gather all my important papers.,,,1,,,,,,,,
4,find shelter,,,,1,,,,,,,
8,stay in my house and monitor the tornado,,1,,1,,,,,,,
8,Pay attention to the notifications,,1,,,,,,,,,
4,Go to my bomb shelter,,,,,1,,,,,,
8,get to the safest place in the home,,,,,1,,,,,,
8,i do not know,,,,,,,,,,1,
4,"Call my family, call any nearby friends, grab my cats, grab my computer, phone, and necessities and go somewhere safe.",,,1,,,,1,,,,
8,run to a bathroom,,,,,1,,,,,,
8,monitor,,1,,,,,,,,,
8,Monitor the situation,,1,,,,,,,,,
4,get supplies set up,,,1,,,,,,,,
4,Drive to family 100 miles south and watch,,1,,,,,,,1,,
4,I might try to drive away from the tornado to safety.,,,,,,,,,1,,
8,absolutely nothing,1,,,,,,,,,,
8,Tornado shelter.,,,,1,,,,,,,
8,Go to a shelter.,,,,,,,,1,,,
4,"I would continue what I was doing, but monitor the situation, and make sure I knew where to take shelter if something were to happen",,1,1,,,,,,,,
4,,,,,,,,,,,,1
4,"I would charge my phone, prepare flashlights and safety plan",,,1,,,,,,,,
4,Get more prepared and grab more things like valuables and food to prepare and go to a better safe location,,,1,,,,1,,,,
8,moniter it,,1,,,,,,,,,
4,get in somewhere place safe,,,,,,,1,,,,
8,Monitor the weather.,,1,,,,,,,,,
8,find a storm shelter and buy any necessary supplies just in case,,,1,,,,,,,,
4,drive to area of safety,,,,,,,1,,,,
8,the same thing,,,,,1,,,,,,
4,"I would choose to not go out, and instead stay at my apartment. I would gather everybody with me/my dog and go to the laundry room of my apartment since it is the most central part of the apartment.",,1,,,1,,,,,,
8,seek shelter,,,,1,,,,,,,
8,Continue with my day unless something changes,,1,,,,,,,,,
4,take cover,,,,1,,,,,,,
8,I would make preparation ahead of time,,,1,,,,,,,,
4,leave work and get my family and drive to a safe shelter.,,,1,,,,,1,,,
8,stay home,,,,1,,,,,,,
8,Monitor the situation,,1,,,,,,,,,
8,Go to my parents house in Utah,,,,,,,1,,,,
4,Stay home,,,,1,,,,,,,
8,,,,,,,,,,,,1
8,monitor the situation,,1,,,,,,,,,
8,Take cover.,,,,1,,,,,,,
4,Pack basic necessities and drive away from affected area.,,,1,,,,,,1,,
4,Prepare my day so I do not have to leave my house. I do not want to be driving in the area. I will also reach out to friends and family to help them prepare.,,,1,1,,,,,,,
8,do some stuff and go down to the basement,,,1,,1,,,,,,
8,make phone calls to family. make plans to be with family and take shelter,,,1,,,,,,,,
8,get out of the house,,,,,,,1,,,,
4,figure out what to do,,,1,,,,,,,,
8,take cover,,,,1,,,,,,,
4,stay at home,,,,1,,,,,,,
8,gather all the necessary items/ emergency items and get covered in the basement,,,1,,1,,,,,,
4,Seek shelter in the basement,,,,,1,,,,,,
4,i would leave my house and get to a shelter,,,,,,,,1,,,
4,"try to save as much of my personal belongings as possible by bringing them down to the basement, bring my cats down to the basement, and bring some food and water down there as well",,,1,,,,,,,,
8,I would contact my family to see what their plans are,,,1,,,,,,,,
4,Head to the stone building at my friend's house with supplies and my family.,,,1,,,,,1,,,
8,BE AT ALERT TO KNOW WHAT TO DO AND FOLLOW INSTRUCTIONS ,,1,,,,,,,,,
8,Look for shelter and monitor the situation for any changes.  ,,1,1,,,,,,,,
4,i would grab my dog and go to the middle bathroom and hide,,,1,,1,,,,,,
8,head to the nearest shelter,,,,,,,,1,,,
4,Stay where I am and monitor the situation.  ,,1,,1,,,,,,,
8,leave area,,,,,,,,,1,,
8,go to  another county,,,,,,,,,1,,
8,Follow safety procedures at time tornado will hit,,,,1,,,,,,,
4,"Given the amount of time there is before the tornado arrives, I would also take shelter from this tornado in the nearest secure shelter area.",,,,,,,,1,,,
4,I would monitor the weather until I was sure it was necessary to take action.,,1,,,,,,,,,
8,find the best possible shelter and supplies ,,,1,,,,,,,,
8,I would do research into how bad it really is,,,1,,,,,,,,
4,Get a shelter and water.,,,1,1,,,,,,,
8,Drive out of my location with my family to a safe town that will not be affected by tornado. ,,,,,,,,,1,,
4,"monitor the situation, and always keep in mind the closest tornado shelter/",,1,,,,,,,,,
8,Wait until closer to 5pm and if a tornado was imminent I would go to the hall closet,,,,1,,,,,,,
4,stay at work for safety ,,,,1,,,,,,,
8,Monitor it ,,1,,,,,,,,,
8,Monitor the situation ,,1,,,,,,,,,
4,"discuss what to do with my significant other, listen to the news, evaluate options, seek shelter",,1,1,1,,,,,,,
8,,,,,,,,,,,,1
4,get my pets to safety and then prepare myself,,,1,,,,,,,,
8,Prepare in case the tornado does actually hit the area,,,1,,,,,,,,
4,hat would you do? Please be,,,,,,,,,,,1
8,I seek shelter.,,,,1,,,,,,,
4,head to the center of the building,,,,,1,,,,,,
4,Try to get more detail and prepared to move to a safe area with needed supplies,,1,1,,,,,,,,
8,"As in the last answer, make preparations.",,,1,,,,,,,,
8,,,,,,,,,,,,1
8,Leave my current location immediately,,,,,,,1,,,,
8,find safety location and wait out storm there,,,,,,,,1,,,
8,blame Obama,1,,,,,,,,,,
8,Evacuate ,,,,,,,1,,,,
4,head to a basement,,,,,1,,,,,,
4,shelter in place,,,,1,,,,,,,
4,nothing,1,,,,,,,,,,
8,"If I did not have time to make it to the shelter, we we would relocate to the middle of the apartment, bathroom?",,,,1,,,,,,,
8,I would tell my family members to be ready for this situation and hide all the food reserve.,,,1,,,,,,,,
8,ummmmg,,,,,,,,,,,1
8,monitor,,1,,,,,,,,,
4,move out of area,,,,,,,,,1,,
4,I would be out of my house by 9 am. ,,,,,,,1,,,,
4,keep an eye on weather app,,1,,,,,,,,,
8,i would sleep,1,,,,,,,,,,
4,Collect important belongings get my family in the car and drive away from the tornado to a friend or family's in a safe area,,,1,,,,,,1,,
8,follow the crowd at work and stay safe,,,,1,,,,,,,
4,seek cover,,,,1,,,,,,,
4,no idea,,,,,,,,,,1,
4,I would wait for more information and then move to the basement.,,1,,,1,,,,,,
4,I probably be sleep,1,,,,,,,,,,
8,Oh baby! I would move everything i could or rent a truck and I would be gone from that area. 8 hours is enough time to leave a city or town or even the state.,,,1,,,,1,,,,
8,I would take my kids to my moms house,,,,,,,,1,,,
4,I would hide away,,,,1,,,,,,,
8,"Get to a basement 
",,,,,1,,,,,,
4,nothing,1,,,,,,,,,,
4,Prepare to take shelter and not leave the house,,,1,1,,,,,,,
8,i will prepare for the tornado.,,,1,,,,,,,,
4,i like ,,,,,,,,,,,1
4,I would leave the location and move to a safer area.,,,,,,,,,1,,
8,"i would turn on the tv and go online and find out what i'm supposed to do, and then i would do it",,1,1,,,,,,,,
8,keep watch of developements,,1,,,,,,,,,
4,I would plan to not go out until after it hits.,,,1,1,,,,,,,
4,Find out where the city is telling us to go to get shelter.,,,,,,,,1,,,
8,MONITOR THE SITUATION A BIT LONGER,,1,,,,,,,,,
4,"Gather water and food. Seek shelter at small level, lowest level, perhaps the bathtub. Avoid windows.",,,1,,1,,,,,,
4,"Seek shelter in our house, with my wife and pets, and contact our families to do the same. ",,,1,,1,,,,,,
4,Monitor the situation.,,1,,,,,,,,,
8,be in a safe place,,,,,,,,1,,,
4,I would get to the best protective shelter where I am and secure my important documents and things that I could secure properly. ,,,1,,,,,1,,,
4,TAKE SHELTER,,,,1,,,,,,,
8,"make sure i have llots of water , bord the windows and more.",,,1,,,,,,,,
4,I don't know.,,,,,,,,,,1,
8,shelter in place,,,,1,,,,,,,
8,,,,,,,,,,,,1
4,Keep an eye on the Weather Channel and monitor local TV/radio stations for timely updates.,,1,,,,,,,,,
4,packed and leave as quickly as possible with my family,,,1,,,,1,,,,
8,get me and my family to a safe location ASAP,,,,,,,,1,,,
8,drive away,,,,,,,,,1,,
8,I will go to a safe place with my family,,,,,,,,1,,,
8,Seek shelter,,,,1,,,,,,,
8,I would get the items I need like food and family prepared to head into the basement,,,1,,1,,,,,,
4,Drive to a shelter,,,,,,,,1,,,
8,die,1,,,,,,,,,,
8,"Again, I would grab essentials I would not want destroyed (but I would have much more time) and then prepare to spend a large length of time in my basement.",,,1,,1,,,,,,
8,check in with family and seek shelter,,,1,1,,,,,,,
8,prepare myself,,,1,,,,,,,,
4,pack up my most valued belongings and my dog and drive,,,1,,,,1,,,,
4,stay inside work,,,,1,,,,,,,
8,take shelter with family,,,,1,,,,,,,
8,"Like I stated before, my area cannot be hit by a tornado. They pass over us in the sky all the time.",1,,,,,,,,,,
8,none,1,,,,,,,,,,
8,get underground,,,,1,,,,,,,
8,hide,,,,1,,,,,,,
4,Continue to monitor the situation,,1,,,,,,,,,
4,I would probably leave town. ,,,,,,,,,1,,
8,Get away from the warning area,,,,,,,,,1,,
8,"I would monitor the situation frequently to be sure that I am up to date with whatever is going on. I would also encourage those around me to be up to date, and take any necessary precautions. ",,1,1,,,,,,,,
4,NA,,,,,,,,,,,1
4,I would take cover in a place that the city has provided,,,,,,,,1,,,
4,Find somewhere to be safe.,,,1,,,,,,,,
8,I would travel far away and out of reach of the tornado.,,,,,,,,,1,,
4,"I would be asleep. If I was awake I am not sure that I would do anything, except monitor what is happening.",,1,,,,,,,,,
4,go underground in the basement for safety,,,,,1,,,,,,
8,avoid it,,,,,,,,,1,,
8,Seek Shelter,,,,1,,,,,,,
8,listen to warning on tv,,1,,,,,,,,,
8,Get to a safety shelter,,,,,,,,1,,,
8,try to be in a safe place since 4pm,,,,,,,,1,,,
8,Get as far away possible from this location,,,,,,,,,1,,
8,watch the news,,1,,,,,,,,,
8,safe grounds,,,,1,,,,,,,
4,not sure,,,,,,,,,,1,
4,Watch and wait,,1,,,,,,,,,
4,prepare for the tornado. call my family once again for advice.,,,1,,,,,,,,
8,Nothing.,1,,,,,,,,,,
8,secure things that I care about and make my shelter ready and monitor things carefully,,1,1,1,,,,,,,
8,MOniter the situation,,1,,,,,,,,,
8,Go about my regular routine.,1,,,,,,,,,,
8,Take shelter,,,,1,,,,,,,
8,nothing,1,,,,,,,,,,
8,monitor it closely,,1,,,,,,,,,
8,"Monitor my surroundings, perhaps put some food in tupperware to be taken downstairs, put some extra blankets and mattresses downstairs and make sure flashlights work.",,1,1,,,,,,,,
4,go to the bathroom,,,,,1,,,,,,
4,I WOULD GO TO SHELTER.,,,,1,,,,,,,
4,"Make sure I have a flash light, food and bottled water.",,,1,,,,,,,,
8,Plan ahead and take cover !,,,1,1,,,,,,,
8,Get all i can an leave for somewhere safe,,,1,,,,1,,,,
8,go to work,1,,,,,,,,,,
4,I will go far away from my place,,,,,,,,,1,,
4,I am not sure.,,,,,,,,,,1,
4,move for cover,,,,,,,,1,,,
4,"pretty much the same thing, if i had a four hour window of advanced knowledge id make sure my kids are in a safe place while trying to protect my property the best i can.",,,1,,,,,,,,
4,Keep watching the weather report,,1,,,,,,,,,
4,nothing,1,,,,,,,,,,
4,Go to my sisters,,,,,,,1,,,,
4,Get in touch with as many others as possible and let tell them to prepare and seek shelter asap,,,1,,,,,,,,
4,try to flee the area as fast as i can,,,,,,,,,1,,
4,go to safest area in the house,,,,,1,,,,,,
8,I would get ready and go to a public shelter center...,,,1,,,,,1,,,
8,none,1,,,,,,,,,,
8,,,,,,,,,,,,1
8,call family go the another family members house,,,1,,,,,,,,
8,"Pack up important stuff into my van, lock up the rest of my stuff, and leave the affected area until it is safe to return.",,,1,,,,,,1,,
8,take shelter,,,,1,,,,,,,
8,drive to a safe area,,,,,,,,1,,,
8,PREPARE FOR SHELTER,,,1,,,,,,,,
8,Pack up my kids and go to my sister's in another stste,,,1,,,,,,1,,
8,monitor the situation and prepare to take cover ,,1,1,,,,,,,,
8,Hide in my basement,,,,,1,,,,,,
8,Monitor weather radar and skies throughout the day,,1,,,,,,,,,
4,stay home,,,1,,,,,,,,
4,leave home,,,,,,,1,,,,
8,TRY TO FIND MY CATS AND TRY TO KEEP THEM AROUND,,,1,,,,,,,,
8,I would look for shelter options,,,1,,,,,,,,
4,I will go to the safest part of my home,,,,,1,,,,,,
4,"I would fill my gas tank, gather my emergency bag, pack a cooler with supplies for my family and pets, call close family and friends to warn them, and secure as much as possible in my home to prepare for the tornado.",,,1,,,,,,,,
8,,,,,,,,,,,,1
8,bbbbbbbbbbbbbbbbb,,,,,,,,,,,1
8,nothing,1,,,,,,,,,,
8,prepare for it,,,1,,,,,,,,
8,Board up the windows and prepare materials in the innermost room of the house(emergency/blankets/news),,,1,,,,,,,,
8,Monitor the situation and start gathering the family and dog to basement ,,1,1,,,,,,,,
8,NA,,,,,,,,,,,1
8,i would evacuate.,,,,,,,1,,,,
4,,,,,,,,,,,,1
4,Find a secure place,,,1,,,,,,,,
8,"Prepare necesarry tools and items, and monitor the weather for further notice and evacuate the city if necessary",,,1,,,,,,1,,
8,prepare to leave,,,1,,,,1,,,,
8,I would go about my normal routine but have everything ready just in case,,,1,,,,,,,,
4,"I would gather important documents, move into a protected part of my building, away from windows.",,,1,,,,,,,,
4,Leave my house and go somewhere else,,,,,,,1,,,,
4,I would stay home,,,,1,,,,,,,
4,go to the shelter ASAP,,,,1,,,,,,,
4,head home to family ,,,,,,,1,,,,
4,monitor weather reports,,1,,,,,,,,,
4,I would grab valuables (Including cat and dog) then drive away to a safer area rather than my house.,,,1,,,,,,1,,
4,N/A,,,,,,,,,,,1
4,stay in safe area with my family,,,,1,,,,,,,
4,I think what anyone would consent to do is leave that place as soon as possible before those 4 hours are met,,,,,,,1,,,,
8,Board up the windows and monitor,,1,1,,,,,,,,
4,Get in a car and drive,,,,,,,1,,,,
4,Monitor the situation and take action when needed. ,,1,,,,,,,,,
8,look for a safe location and go there,,,,,,,,1,,,
4,Look for shelter,,,1,,,,,,,,
8,?Contact the local police department and ask where to go.,,,1,,,,,,,,
8,pack and leave our house,,,1,,,,1,,,,
4,,,,,,,,,,,,1
8,go to the middle of the building and pray,,,,,1,,,,,,
8,move to center of house,,,,,1,,,,,,
4,Find a shelter,,,1,,,,,,,,
8,"I would take cover in the most protected part of the house or building,",,,,,1,,,,,,
8,nothing. never expect 'em here,1,,,,,,,,,,
4,Montor situation,,1,,,,,,,,,
8,ensure to move t safe structure orderly 7 hour later,,,1,,,,,,,,
4,Take shelter and go somewhere safe,,,,,,,,1,,,
4,i don't know,,,,,,,,,,1,
8,go to an area with a bastment,,,,,,,,1,,,
8,continue monitoring weather alerts,,1,,,,,,,,,
4,Find  safety  andget  out the  way,,,1,,,,,,1,,
8,not sure,,,,,,,,,,1,
8,I would keep watching the weather for warnings,,1,,,,,,,,,
8,Move to a specially constructed storm shelter in the building ,,,,,,1,,,,,
4,shrug,1,,,,,,,,,,
8,prepare to move to shelter,,,1,,,,,,,,
4,"I would text/call friends and family to let them know of the tornado and my plans, make a small care package for me and my dogs, grab a large blanket and my cell phone with a charger and hide us in the closet or the bathroom. ",,,1,,1,,,,,,
8,I would prepare everything and get ready for the tornado.,,,1,,,,,,,,
8,I would check on my fiance and head to our basement,,,1,,1,,,,,,
8,STAY IN BASEMENT,,,,,1,,,,,,
4,run to the refuge,,,,,,,,1,,,
8,I would leave the area and go to a safer place,,,,,,,,,1,,
8,Monitor the situation and seek shelter if necessary,,1,,,,,,,,,
4,"Get in my car and drive north or south, depending on direction of tornado. But usually you're not given 4 hours of warning.",,,,,,,1,,,,
4,Call local precicnt & ask for guidance,,,1,,,,,,,,
4,don't know,,,,,,,,,,1,
8,keep a look out,,1,,,,,,,,,
4,take shelter in my home,,,,1,,,,,,,
8,heavy winds,,,,,,,,,,,1
8,cover the breakables,,,1,,,,,,,,
4,Go to a safe area in the basement,,,,,1,,,,,,
8,stay at home,,,,1,,,,,,,
4,"Try to go to a shelter close to my home that has been designated as such.  Take my purse, cell phone and water if possible.",,,1,,,,,1,,,
4,not sure,,,,,,,,,,1,
8,ghhhh,,,,,,,,,,,1
4,Keep my windows closed and pay close attention to the news and weather for any updates on the tornado while preparing for it to hit.,,1,1,,,,,,,,
4,Warn my boyfriend and take him and my dad to a safe place,,,1,,,,,1,,,
8,listen to news and weather,,1,,,,,,,,,
4,stay home,,,,1,,,,,,,
8,monitor,,1,,,,,,,,,
8,cancel appointments,,,1,,,,,,,,
4,Prepare to leave or take cover in a basement,,,1,,,,,,,,
8,stay with news wait and see what happen,,1,,,,,,,,,
8,pack food & clothing & batteries & take your important documents & move to the shelter,,,1,,1,,,,,,
4,"Stay home. Turn on the news, and if it looks like a tornado is actually coming or if the weather gets really bad, go to the basement (tomorrow is a Sunday; on a weekday I would probably go to work, monitor the weather, and likely my coworkers would all go",,1,,1,,,,,,,
4,go to the closet,,,,,1,,,,,,
8,take action,,,1,,,,,,,,
4,stay indoors,,,,1,,,,,,,
8,"I would keep checking the weather to make sure that a tornado was coming, but I would still have some bare essentials with me downstairs in the basement, just incase. ",,1,1,,,,,,,,
4,,,,,,,,,,,,1
8,wait it out,,1,,,,,,,,,
4,SEEK SHELTER ,,,,1,,,,,,,
4,run,,,,,,,1,,,,
4,nothing,1,,,,,,,,,,
4,Drive out of the area the tornado would hit,,,,,,,,,1,,
8,"make sure all lose items are picked up in yard, gather personal item, shelter in place.",,,1,1,,,,,,,
8,Probably nothing,1,,,,,,,,,,
8,Prepare myself and my family.,,,1,,,,,,,,
